"Nome Story","Titolo","Descrizione dettagliata","Criteri di Accettazione"
"S1","Pagamento prenotazione (pre-autorizzazione)","Come cliente, voglio inserire i dati carta e bloccare l’importo al momento della prenotazione, così che il pagamento venga addebitato solo a fine servizio. La soluzione usa Stripe Elements per raccogliere i dati in sicurezza (SAQ A), crea un PaymentIntent con capture_method=manual, gestisce SCA/3DS se richiesto e aggiorna la prenotazione con lo stato di pre-autorizzazione, mostrando errori chiari in caso di fallimento.","PI creato con capture_method=manual e amount/currency corretti | SCA/3DS gestita e stato requires_action riflesso in UI | Booking aggiornato con paymentIntentId e stato authorized | Eventi webhook (capturable/failed) sincronizzano DB | Errori mostrati all’utente con messaggi chiari"
"S2","Cattura del pagamento a fine servizio","Come piattaforma, voglio catturare l’importo quando il provider segna il lavoro come completato, così che il cliente paghi solo per un servizio concluso. La cattura avviene tramite PaymentIntent.capture, lo stato della prenotazione passa a pagato e si gestiscono errori e retry; un webhook garantisce la sincronizzazione anche in caso di failure della richiesta.","API capture ritorna success con chargeId | Booking passa a paid con audit | Idempotency su retry garantisce assenza di doppi addebiti | Webhook payment_intent.succeeded mantiene la consistenza | UI provider mostra conferma incasso"
"S3","Split automatico e fee piattaforma","Come piattaforma, voglio trattenere una commissione e inviare il resto al provider, così che il revenue sharing sia automatico. Il PaymentIntent viene creato con on_behalf_of e transfer_data.destination verso l’account connesso del provider e application_fee_amount configurabile (percentuale/fisso).","application_fee_amount calcolata e applicata correttamente | on_behalf_of e transfer_data.destination impostati al provider | Validazione che il connected account è abilitato (charges/payouts) | Dashboard mostra breakdown fee/transfer | Verifica su Stripe Dashboard e DB"
"S4","Onboarding provider (Stripe Connect Express)","Come provider, voglio collegare un conto Stripe Express, così che possa ricevere i pagamenti per i miei servizi. Il flusso prevede la creazione dell’account, la generazione dell’account link per l’onboarding guidato, la visualizzazione dello stato KYC e il blocco delle azioni di incasso finché l’account non è verificato.","Account creato e salvato su User | Link onboarding e refresh funzionano (ritorno in app) | Stato KYC mostrato in UI | Azioni di incasso bloccate se non verified | Webhook account.updated sincronizza il DB"
"S5","Rimborsi (totale/parziale)","Come admin, voglio rimborsare totale o parziale un pagamento, così da gestire storni e policy di servizio. L’endpoint consente refund completi o parziali con motivazione; il sistema aggiorna lo stato della prenotazione e invia notifiche agli utenti interessati, gestendo anche i casi di refund multipli.","Endpoint refund accetta amount opzionale e reason | Booking aggiornato (stato refunded/parziale) con refundIds e audit | Webhook charge.refunded mantiene consistenza | UI admin mostra esito e notifiche inviate | Test con totale e parziale passano"
"S6","Dispute/chargeback","Come admin, voglio gestire le dispute caricando evidenze, così da difendere le transazioni e tracciare gli esiti. Gli eventi Stripe di disputa creano/aggiornano un ticket interno collegato alla prenotazione; dall’admin è possibile caricare documenti e inviare evidenze a Stripe, monitorando le fasi della disputa.","Eventi charge.dispute.created/updated generano/aggiornano record | Admin può caricare file e inviare evidenze | Timeline/stato disputa visibile in UI | Notifiche su cambi stato | Esiti finali registrati su Booking/Dispute"
"S7","Stato pagamenti nelle prenotazioni","Come utente (cliente/provider), voglio vedere lo stato del pagamento/payout nelle dashboard, così da sapere se e quando è stato addebitato o pagato. La UI mostra badge chiari (pre-autorizzato, richiede azione, pagato, rimborsato, annullato) e per i provider lo stato del payout.","Backend mappa stati Stripe → stato UI | Dashboard mostra badge corretti per ogni prenotazione | Stato payout provider visibile quando disponibile | Transizioni stato coerenti tra create/capture/refund | Test di visualizzazione passano"
"S8","Scadenza autorizzazioni e auto-capture","Come sistema, voglio monitorare le autorizzazioni in scadenza e auto-catturare o annullare, così da evitare transazioni pendenti che scadono. Un job pianificato controlla i PaymentIntent capturable e applica policy configurabili (cattura automatica, annullo, reminder) prima della scadenza dell’autorizzazione.","Worker identifica PI capturable in finestra di scadenza | Policy da .env applicate (capture/annullo/reminder) | Log e metriche delle azioni eseguite | Notifiche inviate a provider/admin quando previsto | Test simulano scadenze ridotte con esiti attesi"
"S9","Conformità e sicurezza","Come piattaforma, voglio restare conforme (SCA/PSD2, SAQ A) e proteggere i segreti, così da ridurre il rischio e l’ambito PCI. La soluzione verifica le firme webhook, applica idempotency, configura CORS/rate limit adeguati e gestisce i segreti in ambienti separati (test/prod) evitando commit di chiavi.","Webhook signature verificata (secret corretto) | Idempotency-Key usata su create/capture/refund | CORS e rate limit applicati alle rotte pagamenti | Segreti separati per test/prod e non committati | Log senza PII e masking sensibile"
"S10","Fatture e tasse","Come piattaforma, voglio una strategia documentale corretta (MoR provider; la piattaforma fattura la fee), così da rispettare gli obblighi fiscali. È definito chi emette fattura al cliente e come la piattaforma fattura la commissione; opzionalmente si integra Stripe Invoicing/Tax e si mostrano link alle fatture del provider.","Decisione MoR documentata e riflessa in ToS/policy | Fee piattaforma registrata e mostrata con link documenti | Integrazione facoltativa Tax/Invoicing testata | Report base di quadratura generato | Link a fatture provider visibili in UI quando disponibili"
