"nome","Nome Story","Ordine","Titolo Story","Descrizione del task","stima sforzo","Priorità","tipo di task","stima in minuti"
"S1.1","S1","1","Pagamento prenotazione (pre-autorizzazione)","Aggiungi a Booking i campi paymentIntentId, paymentStatus, amount, currency, requiresAction e includili nelle risposte API","3","High Priority","Backend","45"
"S1.2","S1","2","Pagamento prenotazione (pre-autorizzazione)","Crea endpoint POST /api/payments/create-intent con capture_method=manual, on_behalf_of, transfer_data.destination (connected account) e application_fee_amount","6","Critical","Backend","210"
"S1.3","S1","3","Pagamento prenotazione (pre-autorizzazione)","Usa Idempotency-Key per la creazione del PaymentIntent per evitare duplicati su retry","4","High Priority","Backend","45"
"S1.4","S1","4","Pagamento prenotazione (pre-autorizzazione)","Valida importi e currency, calcola commissioni percentuale/fissa con arrotondamenti e limiti","5","High Priority","Backend","90"
"S1.5","S1","5","Pagamento prenotazione (pre-autorizzazione)","Integra Stripe Elements (PaymentElement/CardElement) per raccogliere i dati carta in modo sicuro","4","High Priority","Frontend","120"
"S1.6","S1","6","Pagamento prenotazione (pre-autorizzazione)","Implementa stripe.confirmPayment con gestione next_action/3DS e persisti l’esito (success/requires_action/failure)","5","High Priority","Frontend","90"
"S1.7","S1","7","Pagamento prenotazione (pre-autorizzazione)","Aggiungi feedback (loading, errori, successi) e aggiorna lo stato pagamento sulla prenotazione","4","Medium priority","Frontend","60"
"S1.8","S1","8","Pagamento prenotazione (pre-autorizzazione)","Implementa endpoint firmato per payment_intent.amount_capturable_updated e payment_intent.payment_failed e sincronizza il DB","5","High Priority","Webhook","120"
"S1.9","S1","9","Pagamento prenotazione (pre-autorizzazione)","Esegui test carte no-3DS/3DS e scenari di rifiuto in test mode","3","Medium priority","QA","60"
"S2.1","S2","1","Cattura del pagamento a fine servizio","Endpoint POST /api/payments/capture/:bookingId che chiama stripe.paymentIntents.capture","4","High Priority","Backend","90"
"S2.2","S2","2","Cattura del pagamento a fine servizio","Aggiungi Idempotency-Key e retry sicuro per la capture","5","High Priority","Backend","60"
"S2.3","S2","3","Cattura del pagamento a fine servizio","Aggiorna Booking (paymentStatus=paid, chargeId; audit)","3","High Priority","Backend","45"
"S2.4","S2","4","Cattura del pagamento a fine servizio","Gestisci payment_intent.succeeded per resilienza e sync dello stato","4","High Priority","Webhook","60"
"S2.5","S2","5","Cattura del pagamento a fine servizio","Pulsante ‘Completa e incassa’ lato provider con loading/error","3","Medium priority","Frontend","45"
"S2.6","S2","6","Cattura del pagamento a fine servizio","Test capture ok, non capturable, rete/offline","4","Medium priority","QA","60"
"S3.1","S3","1","Split automatico e fee piattaforma","Configura PLATFORM_FEE_PERCENT/PLATFORM_FEE_FIXED in .env con validazione e default","2","High Priority","Backend","30"
"S3.2","S3","2","Split automatico e fee piattaforma","Valida che il connected account del provider esista ed è abilitato (charges_enabled/payouts_enabled)","4","High Priority","Backend","60"
"S3.3","S3","3","Split automatico e fee piattaforma","Calcola application_fee_amount e imposta on_behalf_of + transfer_data.destination nel create-intent","6","High Priority","Backend","120"
"S3.4","S3","4","Split automatico e fee piattaforma","Schermata admin per impostare fee e mostrare breakdown per transazione","4","Medium priority","Admin UI","120"
"S3.5","S3","5","Split automatico e fee piattaforma","Verifica su Dashboard Stripe e DB che fee/transfer siano corretti","3","Medium priority","QA","45"
"S4.1","S4","1","Onboarding provider (Stripe Connect Express)","POST /api/connect/create-account (Express) e salva accountId su User; gestione errori","5","Critical","Backend","120"
"S4.2","S4","2","Onboarding provider (Stripe Connect Express)","POST /api/connect/account-link per generare link di onboarding e refresh","4","Critical","Backend","90"
"S4.3","S4","3","Onboarding provider (Stripe Connect Express)","Gestisci account.updated per sincronizzare verified/requirements nel DB","4","High Priority","Webhook","90"
"S4.4","S4","4","Onboarding provider (Stripe Connect Express)","Dashboard provider con CTA ‘Collega conto’ e stato KYC","3","High Priority","Frontend","90"
"S4.5","S4","5","Onboarding provider (Stripe Connect Express)","Blocca UI di incasso/split se non verified","2","High Priority","Frontend","45"
"S4.6","S4","6","Onboarding provider (Stripe Connect Express)","Test end-to-end dell’onboarding in test mode (link, refresh, ritorno)","3","Medium priority","QA","60"
"S5.1","S5","1","Rimborsi (totale/parziale)","POST /api/payments/refund/:bookingId con amount opzionale e reason; idempotency","4","Medium priority","Backend","90"
"S5.2","S5","2","Rimborsi (totale/parziale)","Aggiorna Booking con refunded/parziale, refundIds[] e audit","4","Medium priority","Backend","60"
"S5.3","S5","3","Rimborsi (totale/parziale)","Gestisci charge.refunded per sincronizzare stato (parziale/total)","4","Medium priority","Webhook","90"
"S5.4","S5","4","Rimborsi (totale/parziale)","Form refund (importo/motivo) con conferma e feedback","3","Medium priority","Admin UI","90"
"S5.5","S5","5","Rimborsi (totale/parziale)","Test refund totale/parziale e errori (insufficient_balance, duplicati)","4","Medium priority","QA","60"
"S6.1","S6","1","Dispute/chargeback","Implementa charge.dispute.created/updated creando/aggiornando un record Dispute legato al Booking","6","Medium priority","Webhook","150"
"S6.2","S6","2","Dispute/chargeback","Endpoint admin per inviare evidenze a Stripe (disputes.update/submit) con upload documenti","7","Medium priority","Backend","180"
